display_name,priority
Brendan Boyle,Fiscal Responsibility
Brendan Boyle,Poverty
Ritchie Torres,Housing
Ritchie Torres,Public Safety
Ritchie Torres,Anti-Corruption
Ritchie Torres,Poverty
Ritchie Torres,Housing Affordability
Ritchie Torres,Affordability
Ritchie Torres,Healthcare
Abigail Spanberger,Defense
Abigail Spanberger,Education
Abigail Spanberger,Data Center
Abigail Spanberger,Affordability
Abigail Spanberger,Healthcare
Abigail Spanberger,Public Safety
Mikie Sherrill,Affordability
Mikie Sherrill,Housing
Mikie Sherrill,Transit
Mikie Sherrill,Protecting Democracy/Institutions
Mikie Sherrill,Housing Affordability
Austin Davis,Opioid Crisis
Austin Davis,Rural
Austin Davis,Farming/Agriculture
Austin Davis,Energy
Austin Davis,Public Safety
Austin Davis,Education
Jeff Jackson,Technology
Jeff Jackson,Farming/Agriculture
Jeff Jackson,Opioid Crisis
Jeff Jackson,Affordability
Jeff Jackson,Technology/Innovation
Jeff Jackson,Anti-Trust/Competition
Aftab Pureval,Housing
Aftab Pureval,Affordability
Aftab Pureval,Public Safety
Aftab Pureval,Poverty
Aftab Pureval,Housing Affordability
Aftab Pureval,Small Business
Mike Johnston,Homelessness
Mike Johnston,Affordability
Mike Johnston,Public Lands
Mike Johnston,Public Safety
Mike Johnston,Housing Affordability
Justin Bibb,Education
Justin Bibb,Healthcare
Justin Bibb,Poverty
Justin Bibb,Public Safety
Justin Bibb,Revitalization
Justin Bibb,Housing Affordability
Cavalier Johnson,Public Safety
Cavalier Johnson,Poverty
Cavalier Johnson,Housing
Cavalier Johnson,Housing Affordability
Cavalier Johnson,Revitalization
Quinton Lucas,Farming/Agriculture
Quinton Lucas,Transit
Quinton Lucas,Affordability
Quinton Lucas,Public Safety
Quinton Lucas,Infrastructure
Matt Mahan,Technology
Matt Mahan,Housing
Matt Mahan,Affordability
Matt Mahan,Homelessness
Matt Mahan,Public Safety
Matt Mahan,Housing Affordability
Matt Mahan,Fiscal Responsibility
Lauren McLean,Housing
Lauren McLean,Affordability
Lauren McLean,Technology
Lauren McLean,Homelessness
Lauren McLean,Housing Affordability
Lauren McLean,Public Lands
Paige Cognetti,Economic Revitalization
Paige Cognetti,Housing
Paige Cognetti,Affordability
Paige Cognetti,Fiscal Responsibility
Paige Cognetti,Revitalization
Paige Cognetti,Housing Affordability
Paige Cognetti,Infrastructure
Phillip Jones,Shipbuilding
Phillip Jones,Public Safety
Phillip Jones,Housing
Phillip Jones,Education
Phillip Jones,Housing Affordability
Phillip Jones,Labor
Ron Nirenberg,Healthcare
Ron Nirenberg,Poverty
Ron Nirenberg,Affordability
Ron Nirenberg,Transit
Ron Nirenberg,Water
Ron Nirenberg,Housing Affordability
Ron Nirenberg,Economic Mobility
Eileen Higgins,Housing
Eileen Higgins,Affordability
Eileen Higgins,Climate
Eileen Higgins,Transit
Eileen Higgins,Housing Affordability
Eileen Higgins,Technology/Innovation
Zeb Smathers,Economic Revitalization
Zeb Smathers,Disaster Recovery
Zeb Smathers,Tourism
Zeb Smathers,Revitalization
Zeb Smathers,Infrastructure
Don Scott,Climate
Don Scott,Public Safety
Don Scott,Affordability
Don Scott,Healthcare
Don Scott,Education
Don Scott,Criminal Justice Reform
Buffy Wicks,Technology
Buffy Wicks,Housing
Buffy Wicks,Affordability
Buffy Wicks,Housing Affordability
Buffy Wicks,Protecting Kids Online
Buffy Wicks,Paid Family and Medical Leave
Buffy Wicks,Public Safety
Buffy Wicks,Homelessness
Sandra Jauregui,Housing
Sandra Jauregui,Affordability
Sandra Jauregui,Water
Sandra Jauregui,Public Safety
Sandra Jauregui,Housing Affordability
Sandra Jauregui,Healthcare
Sandra Jauregui,Public Lands
James Talarico,Education
James Talarico,Healthcare
James Talarico,Affordability
James Talarico,Protecting Democracy/Institutions
Grant Hauschild,Tourism
Grant Hauschild,Healthcare
Grant Hauschild,Infrastructure
Grant Hauschild,Public Safety
Grant Hauschild,Labor
Phil Olaleye,Economic Revitalization
Phil Olaleye,Affordability
Phil Olaleye,Housing
Phil Olaleye,Education
Phil Olaleye,Housing Affordability
Kayla Young,Opioid Crisis
Kayla Young,Childcare
Kayla Young,Economic Diversification
Kayla Young,Small Business
Kayla Young,Paid Family and Medical Leave
